序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
92,603270,金帝股份,0.45,1355341700.0,1136424735.64,19.263657107632,31.207647138178,99542600.0,132452288.1,-24.846447405388,-38.839644149,9.83,4.64,通用设备,2026-03-21
93,601888,中国中免,2.0625,56473848300.0,67540104550.94,-16.384718863729,14.441438201065,4267111700.0,6713686688.57,-36.441602089285,-45.3463684105,26.6314,7.88,旅游零售Ⅱ,2026-03-21
94,601229,上海银行,1.6,52986000000.0,50564000000.0,4.78996914801,1.124143749773,23560000000.0,22545000000.0,4.502106897316,29.335060105,16.49,10.01,银行Ⅱ,2026-03-21
95,600980,北矿科技,0.5591,1187974946.94,929271008.62,27.839450054961,73.689635989313,105817106.34,91749862.96,15.332168273791,-8.9172112493,7.3525,7.87,专用设备,2026-03-21
96,000096,广聚能源,0.184,1977439100.0,2552770400.0,-22.537526289086,-9.330740724537,96957000.0,88145800.0,9.996165444071,-32.518967277,5.31,3.52,炼化及贸易,2026-03-21
97,300468,四方精创,0.13,740375700.0,730433547.54,1.361130316849,12.260349940471,67363600.0,47379416.85,42.17903992628,-5.5899500085,3.09,4.15,软件开发,2026-03-20
98,300190,维尔利,-0.96,2047630400.0,2212211587.6,-7.439667549095,30.589287872816,-736401900.0,-197401987.34,-273.046852224259,-2498.4551287759,3.55,-23.3,环境治理,2026-03-20
99,688069,德林海,-0.78,448370200.0,310042300.0,44.615815325844,56.233487287936,-86148800.0,-13441100.0,-540.935637708223,-3438.1701852072,11.21,-6.53,环境治理,2026-03-18
100,603969,银龙股份,0.28,3053659649.42,2748641929.28,11.097033661998,0.260185984067,236647681.0,171562558.35,37.936670609226,-0.3839815922,2.86,9.92,通用设备,2026-03-18
101,300126,锐奇股份,-0.06,437181000.0,501181138.25,-12.769861705784,18.908150105301,-19264400.0,4054002.36,-575.194592634623,65.7716049538,3.48,-1.8,通用设备,2026-03-18
102,000028,国药一致,1.15,74378494400.0,75477484620.31,-1.456050404751,-4.112519062272,642493400.0,1599255755.53,-59.825475207555,-231.3591768686,31.75,3.67,医药商业,2026-03-18
103,601298,青岛港,0.81,18941000000.0,18173130000.0,4.225304061546,1.065083480627,5234900000.0,4923320000.0,6.328656272597,1.0725113018,6.55,12.65,航运港口,2026-03-17
104,600309,万华化学,4.15,182069119200.0,175360935700.0,3.825357952854,-31.802215902896,13033066600.0,16815755500.0,-22.494909015536,-33.5466043177,30.14,14.29,化学制品,2026-03-17
105,003008,开普检测,0.82,221337800.0,190825407.27,15.989690873201,7.566801858743,85555400.0,58791679.21,45.522973913369,77.5836321881,10.36,7.89,专业服务,2026-03-17
106,600648,外高桥,0.84,7239717000.0,7694892900.0,-5.915298704157,-9.246837459917,951434400.0,928524400.0,2.467355731309,73.8347481948,11.48,7.44,房地产开发,2026-03-14
107,600284,浦东建设,0.6116,18858511700.0,17725695800.0,6.390812032327,12.12610264946,593367000.0,577101200.0,2.81853512001,-34.6894790582,7.98,7.71,基础建设,2026-03-14
108,002378,章源钨业,0.14,3673251745.88,3400486921.54,8.021346078769,-15.7617560586,172028563.8,143956680.73,19.50022946323,-25.8568681171,1.77,8.27,小金属,2026-03-14
109,000970,中科三环,0.0099,6750882893.28,8358231075.72,-19.230722001803,4.515379180718,12007779.57,275310282.87,-95.638455837965,78.5090249786,5.35,0.18,金属新材料,2026-03-14
